fish_126 83166 1011849000 30.93 18.94 18.97 30.90
fish_127 26439989 675917103 29.80 20.19 20.18 29.83
fish_128 495736 648407083 29.44 20.55 20.55 29.45
fish_129 3158421 859842111 29.58 20.42 20.42 29.58
fish_12 4650 412731310 27.86 22.15 22.18 27.81
fish_130 4430025 847910432 29.84 20.19 20.25 29.71
fish_131 217655 636613682 29.69 20.31 20.31 29.68
fish_132 2802423 927383394 29.78 20.21 20.21 29.80
fish_133 39308 679761122 29.92 20.08 20.08 29.91
fish_134 296161 701696780 30.06 19.92 19.92 30.09
fish_135 1574226 748923461 30.42 19.57 19.59 30.42
fish_136 31413364 731622281 30.31 19.65 19.65 30.32
fish_137 2525540 830133247 29.75 20.28 20.32 29.65
fish_138 15105 695008792 30.46 19.55 19.54 30.43
fish_139 12083 687549873 29.68 20.32 20.33 29.66
fish_13 5117 401034705 28.34 21.66 21.74 28.27
fish_140 411659 800491834 29.23 20.82 20.85 29.11
fish_141 1303070 729664433 30.69 19.38 19.38 30.56
fish_142 58849 708403365 28.30 21.67 21.68 28.29
fish_143 1252252 1021898560 29.72 20.26 20.31 29.70
fish_144 3046963 314580961 28.37 21.64 21.64 28.33
fish_14 4774 414317329 28.19 21.81 21.86 28.14
fish_15 4482 401149128 28.32 21.67 21.72 28.29
fish_16 7633 432902915 28.09 21.90 21.95 28.06
fish_17 4291 399875629 27.58 22.43 22.48 27.50
fish_18 4932 350339566 26.66 23.34 23.36 26.64
fish_19 6483 431202967 27.62 22.38 22.40 27.59
fish_1 3702 428791846 27.75 22.25 22.27 27.73
fish_20 3555 416390766 27.65 22.38 22.40 27.57
fish_21 5922 1144104325 28.53 21.49 21.49 28.49
fish_22 4433 344961111 27.38 22.64 22.67 27.31
fish_23 4715 306494646 27.49 22.53 22.55 27.44
fish_24 9571 554895936 28.67 21.30 21.35 28.68
fish_26 15180 458089168 28.86 21.15 21.16 28.83
fish_27 9654 555559596 29.20 20.80 20.81 29.18
fish_28 6332 610433400 28.14 21.85 21.89 28.11
fish_2 3572 412070465 27.66 22.38 22.38 27.58
fish_30 7082 546506150 28.46 21.55 21.56 28.42
fish_31 5470 492850272 28.94 21.06 21.07 28.92
fish_32 45752 485061200 28.75 21.23 21.25 28.77
fish_33 16922 387834307 26.58 23.42 23.42 26.58
fish_34 21306 720396841 29.05 20.96 20.96 29.04
fish_35 21389 649757301 29.15 20.85 20.86 29.14
fish_36 6379 369861760 27.86 22.12 22.16 27.85
fish_38 17715 544763040 28.71 21.30 21.31 28.69
fish_3 3976 334717091 27.70 22.31 22.32 27.66
fish_40 5920 1128442880 29.27 20.73 20.76 29.24
fish_42 6391 707987062 29.01 21.00 21.00 28.98
fish_45 5527 771263137 28.27 21.72 21.77 28.24
fish_47 9773 656003707 27.86 22.14 22.16 27.85
fish_48 5222 849277706 27.82 22.19 22.21 27.78
fish_4 4344 394927939 27.91 22.10 22.13 27.86
fish_50 3201 539598795 28.89 21.09 21.16 28.87
fish_52 9774 441856641 29.57 20.44 20.45 29.54
fish_54 6820 342758722 27.66 22.36 22.38 27.60
fish_55 5972 630662671 29.73 20.28 20.29 29.69
fish_56 16564 717740616 29.67 20.34 20.35 29.64
fish_57 18209 528360750 29.79 20.23 20.22 29.77
fish_58 11440 592152195 29.77 20.23 20.24 29.75
fish_59 8775 560750949 29.83 20.17 20.18 29.81
fish_5 3697 374396471 27.77 22.27 22.27 27.69
fish_60 7035 650302152 29.60 20.39 20.41 29.59
fish_61 7329 623452208 29.46 20.55 20.57 29.43
fish_62 7146 572208925 29.75 20.25 20.28 29.72
fish_63 7660 581265587 29.66 20.35 20.36 29.64
fish_65 5368 430362827 27.55 22.44 22.48 27.53
fish_66 6111 676314385 28.67 21.34 21.34 28.66
fish_67 3573 404871927 27.55 22.42 22.46 27.57
fish_68 7469 568597941 28.88 21.12 21.13 28.87
fish_69 5987 533267752 28.32 21.67 21.70 28.31
fish_6 4444 423942190 27.75 22.26 22.27 27.72
fish_70 21768 659225728 29.43 20.58 20.57 29.42
fish_71 4562 404844788 28.77 21.20 21.24 28.79
fish_72 3367 302363458 28.58 21.40 21.45 28.57
fish_73 6032 672603014 28.59 21.40 21.43 28.58
fish_74 18672 556023515 28.76 21.23 21.25 28.76
fish_75 18145 535045983 28.79 21.22 21.24 28.75
fish_76 15562 520173038 28.60 21.39 21.40 28.61
fish_79 8444 545759480 28.63 21.36 21.39 28.61
fish_7 4335 448868398 27.65 22.34 22.35 27.66
fish_80 4684 488488587 29.09 20.91 20.94 29.07
fish_81 28198 680472139 29.03 20.95 20.97 29.05
fish_83 46920 728212003 30.21 19.80 19.80 30.20
fish_84 71786 599808025 30.34 19.66 19.68 30.32
fish_85 50227 524844595 29.87 20.14 20.15 29.85
fish_86 32464 528779420 29.07 20.93 20.94 29.06
fish_87 14223 834429411 29.66 20.34 20.34 29.65
fish_88 16796 599249148 29.57 20.43 20.43 29.58
fish_89 21275 533823763 29.31 20.69 20.70 29.31
fish_8 3951 396767394 27.43 22.57 22.57 27.42
fish_90 24689 657041210 29.23 20.75 20.77 29.24
fish_91 9473 520316443 29.01 21.00 20.99 28.99
fish_94 19998 452416606 27.47 22.51 22.51 27.50
fish_95 10640 416766999 26.13 23.84 23.90 26.12
fish_96 11480 810626388 29.71 20.25 20.31 29.73
fish_97 16818 495065230 27.24 22.76 22.78 27.22
fish_98 45457 537407121 28.82 21.19 21.19 28.81
fish_99 90956 544128710 28.81 21.19 21.19 28.81
fish_9 4502 346335180 26.86 23.15 23.18 26.81
