fish_42	Aulopiformes	Parasudis fraserbrunneri	Tripodfish
fish_44	Aulopiformes	Saurida brasiliensis	Brazilian lizardfish
fish_45	Aulopiformes	Synodus synodus	Diamond lizardfish
fish_47	Lampriformes	Regalecus glesne	King of herring
fish_48	Lampriformes	Lampris guttauts	Opah
fish_49	Lampriformes	Lophotus capellei	Unicornfish
fish_50	Ateleopodiformes	Guentherus altivela	Jellynose
fish_51	Lophiiformes	Lophius vaillanti	Shortspine African angler
fish_52	Lophiiformes	Antennarius striatus	Striated frogfish
fish_54	Osmeriformes	Osmerus eperlanus	European smelt
fish_55	Perciformes	Perca fluviatilis	European perch
fish_56	Scorpaeniformes	Sebastes norvegicus	Golden redfish
fish_57	Notothenioidei	Eleginops maclovinus	Patagonian blennie
fish_58	Notothenioidei	Patagonotothen guntheri	Yellowfin notothen
fish_59	Notothenioidei	Trematomus newnesi	Dusky rockcod
fish_60	Notothenioidei	Pleuragramma antarctica	Antarctic silverfish
fish_61	Notothenioidei	Chaenocephalus aceratus	Blackfin icefish
fish_62	Notothenioidei	Artedidraco skottsbergi	Antarctic plunderfish
fish_63	Notothenioidei	Harpagifer kerguelensis	Kerguelen spiny plunderfish
fish_64	Notothenioidei	Gymnodraco acuticeps	Ploughfish
fish_65	Stomiformes	Borostomias antarcticus	Snaggletooth
fish_66	Myctophiformes	Benthosema glaciale	Glacier lantern fish
fish_67	Cetomimiformes	Cetomimus sp	Cetomimus sp
fish_68	Cetomimiformes	Rondeletia loricata	Redmouth whalefish
fish_69	Beryciformes	Beryx splendens	Splendid alfonsino
fish_70	Beryciformes	Neoniphon sammara	Sammara squirrelfish
fish_71	Beryciformes	Anoplogaster cornuta	Common fangtooth
fish_72	Beryciformes	Diretmus argenteus	Silver spinyfin
fish_73	Beryciformes	Diretmoides pauciradiatus	Longwing spinyfin
fish_74	Beryciformes	Monocentris japonica	Pinecone fish
fish_75	Beryciformes	Gephyroberyx darwini 	Darwin's slimehead
fish_76	Beryciformes	Hoplostethus atlanticus	Orange roughy
fish_77	Stephanoberyciformes	Poromitra crassiceps	Crested bigscale
fish_78	Stephanoberyciformes	Scopelogadus beanii	Bean's bigscale
fish_79	Stephanoberyciformes	Acanthochaenus luetkenii	Pricklefish
fish_80	Stylephoriformes	Stylephorus chordatus	Tube-eye or thread-tail
fish_81	Perciformes	Spondyliosoma cantharus	Black seabream
fish_82	Perciformes	Rhyacichthys aspro	Loach goby
fish_83	Perciformes	Thunnus albacares	Yellowfin tuna
fish_84	Perciformes	Helostoma temminckii	Kissing gouramis
fish_85	Perciformes	Anabas testudineus	Climbing perch
fish_86	Perciformes	Selene dorsalis	African moonfish
fish_87	Perciformes	Chromis chromis	Damselfish 
fish_88	Perciformes	Parablennius parvicornis	Rock-pool blenny
fish_89	Perciformes	Symphodus melops	Corkwing wrasse
fish_90	Perciformes	Pseudochromis fuscus	Brown dottyback
fish_91	Scorpaeniformes	Myoxocephalus scorpius	Shorthorn sculpin
fish_92	Gadiformes	Raniceps raninus	Tadpolefish
fish_93	Gadiformes	Coryphaenoides rupestris	Roundnose grenadier
